1|3 dollars per dozen|muy muy|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfyJt_QF3xgu6snJhNTxFFlkmfmZhxsHmwmDezIsR8Lv3tnTIZBe61TghYtg&s
2|1 dollars per dozen|machas|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz2AiMsRLuwWjg8VdXDGF3iBV7Zzf28QNRULt9zl3vx73aeYVZabG2Jhscug&s
3|5 dollars per dozen|palabritas|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv-uhH5uMD4G-MDEae-_6-qxeHcw6sFFOBliiyXRSEmHgWYVifg-JQBgGBbRE&s
4|1 dollars per kilogram|marucha|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2A4kpujBXz4-j1o5q0aObHOi6rUPlfagzb_3UGtdLPqubJcwEmC9ET8fY5g&s
5|4 dollars per kilogram|pique|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1eFujwNA5oOGLmxkjIxyKSyW2pwtogSVoDEBrQOaeer4z6BBW2dKAyM5QCe8&s
6|1 dollars per dozen|caballa/jurel|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfKZ7a22S92w_ZzxH57eunX3fOo7UfF62ScbJb1Tkt9JktcTKzt3R7Mdq4A&s
7|1 dollars per kilogram|pejerrey|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgeG0saVgxg_cZ4E4PiEDY6T_lVCK2gWj_KbLElRlXxBVHc_sK2iDN2xr37w&s
8|2 dollars per dozen|sardina|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDxkPn1zqOHfvA_VMumLVgPDhmrjHjcKzz0VLNNQMS4CGN-gsJ270pLqm-yg&s
9|1 dollars per bag|lomriz de choro|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgEbWQxaIcWy-izbrdqBPScEwuyeGlVqL8oFBUi5hgPbARIXwE-EuS2-GaA48&s
10|4 dollars per kilogram|calamar|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRf9_9MW2AK34GIX5drgDz33l_FrmT8KUEWUxDb7w1d4hTjFJ2TmFn7GdbHlQY&s
11|2 dollars per dozen|pota|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJLwubYEtDzPuyuOepaPcLxtM2_IeX4pMOLmu7imBwh7J8R_reEuen-MNzSA&s
12|5 dollars per bag|racacha|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_2V3zrNHcoSgqSPDMVnHOWm-KZxpXe52Hh83OOclA4Yvqmf7HBnMUanjzzQ&s
13|4 dollars per dozen|choro|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqT6236OmGJtzXsmKILQbxTVXax0_En7lg0khbEwLrSNPimXkcoSl3f9kp4A&s
14|2 dollars per bag|anchoveta|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAcPOvnvaBOpgv3aS188EISd5CNoiKEOmbXGFFKv9T1WDlbX-p68UIOJmG0fY&s
15|3 dollars per dozen|langostino|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS5-FkTMUKaAetkiOmqH-_HVU3-VQzRCy15r5wVm8Q6YBT7v7fZVz4BOVZ3Q&s
16|3 dollars per dozen|cangrejo azulillo|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBRRelBK3SV2oHEGpmWJ3OdyAb-LFw_M70I9m-ttk380AmQbVuEVdbisj1rDY&s
17|4 dollars per kilogram|lisa|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBFLjsspLAmlbaw0eIBlPnBU9O3gdl5j3RJ8AwCUQ3ksWjw6A1Xx8sVCLSlQ&s
18|2 dollars per bag|almeja|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStwXZ8nMhtiEWt4UW1bwxTGjcgXHIZKCkLb4c8T5hwu3Lk_dWJi5lTePfu694&s
19|3 dollars per dozen|malagua|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9AsAbXuVpO-fbIO-xe4_U_r5-GB4BJmKjhEYlFogVVCXmkbY_IKmds1N7xw&s
20|2 dollars per kilogram|navaja/chaveta|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo-QXZ0m9LijcegkJMgebq5ffeBqgitoQu4uaIDOt54V_S7jnffgo3w1W6kA&s
21|5 dollars per bag|tripa de pollo|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8dRw89nWzQKjVuSpgl6Wt5s6sgEhFsAOkDU_JjWRThh_XoxmLNpjzGh9rrxI&s
22|3 dollars per dozen|lombriz de tierra|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnwlmcjFCGLMTF5rgHBhddndP_XD7TcehFn7JTMnveT_7e_SjgPfoPGl4IxkI&s
23|5 dollars per dozen|lombriz machete|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2sWgswwkVvwPA5bGE1xIdQlIW8cZizRluKB83v-zuplA3BIkH3_AN8-dM&s
24|4 dollars per kilogram|corazon de vaca|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGylu5PdvuX1PwY0jhB_glT1uBHS0n6WdLuk-dslX4zu6px_rp9Zwlu39E2g&s
25|3 dollars per dozen|krill|best bait to fish|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEzouwqTqrfoC_NWVhRchrntCnCkZxc0ZmKU5ft2Yju8Htl2TUoBStB_STJA&s
